sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/login.php,102321,520,1,105623,5269.36284524585,0.0012998309242481993,90.25323936456412,47.753775319250515,541.807322055101
/dashboard.php,102227,510,4,104328,5232.650550207469,0.0014184119655276982,90.16292953890579,59.82077109212314,679.3975075078013
/search.php,102112,525,4,106866,5335.495755853237,0.0014200094014415543,90.06277193158856,36.54963754766107,415.5638122845503
TOTAL,306660,518,1,106866,5279.320333754043,0.0013793778125611427,270.4530922720759,144.1105997133723,545.6371486336659
