sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/login.aspx,33315,6,2,361,5.662178354066111,0.0,55.66239334089645,86.88773449286906,1598.4407924358397
/dashboard.aspx,16634,19,17,318,5.144767443620268,6.0117830948659375E-5,27.79272249716793,37.55657059991028,1383.7409522664423
TOTAL,49949,10,2,361,8.33183124295256,2.002042082924583E-5,83.45362926131617,124.44219877252208,1526.9415203507579
