sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/login.aspx,286837,777,3,2008,321.40270000197177,4.044108674961738E-4,252.78418910189464,394.696374988323,1598.8701248444238
/dashboard.aspx,143274,591,18,1327,161.11607993857174,8.235967446989684E-4,126.37868619937761,170.89839184562902,1384.726796208663
TOTAL,430111,715,3,2008,291.9550484266396,5.440456068317248E-4,379.04893845216975,565.4406931932999,1527.5369776639054
