sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/login.aspx,244341,1253,3,2467,506.5718405050718,0.0015511109474054701,268.6991118911572,419.83139336164487,1599.9581977645994
/dashboard.aspx,121852,901,3,1592,195.93859299348563,9.683878803794767E-4,134.00372586927787,181.22813350912443,1384.8690214358403
TOTAL,366193,1136,3,2467,459.87842795592076,0.0013572078111815354,402.6984168877041,601.0535480331788,1528.386522953743
